Chapter,Tenor,Vehicle,Sentence
7,sentimental,one,i used to be as sentimental as any one a few years ago said ann returning to the dropped subject
8,popped,rabbits,men popped in and out of the subway entrances like rabbits
8,burned,home,the poet has said some very searching and unpleasant things about the man whose heart has neer within him burned as home his footsteps he has turned from wandering on some foreign strand but he might have excused jimmy for feeling just then not so much a warmth of heart as a cold and clammy sensation of dismay
8,looked,taking,five years had passed since he had seen the dear old rag for which he had reported so many fires murders streetaccidents and weddings and he looked forward to its perusal as a formal taking _seisin_ of his longneglected country
8,offered,substitute,he knew that it was unreasonable of him to feel as if he had just been informed of the death of a dear friend for pa doughnut and his associates had been having their adventures five years before he had left the country and even the toughest comic supplementary hero rarely endures for a decade but nevertheless the shadow did fall upon his morning optimism and he derived no pleasure whatever from the artificial rollickings of a degraded creature called old pop dillpickle who was offered as a substitute
8,struck,bullet,scarcely had he started to glance at it when this headline struck him like a bullet piccadilly jim at it again and beneath it his own name
8,see,importer,i dont see myself as a fan importer a glass beveller a hotel broker an insect exterminator a junk dealer a kalsomine manufacturer a laundryman a mausoleum architect a nurse an oculist a paperhanger a quilt designer a roofer a ship plumber a tinsmith an undertaker a veterinarian a wig maker an xray apparatus manufacturer a yeast producer or a zinc spelter
8,address,crocker,few things are certain in this world but one was that if bartlingsuch was the visions nameshould see him he would come over and address him as crocker
8,become,result,however reggies soul might writhe and however sleepless reggies nights might become as a result of this encounter he was prepared to fight it out on those lines if it took all summer
8,re,crocker,if youve got a good virtuous algernonish soul it doesnt matter if youre so like jimmy crocker that his friends come up and talk to you in restaurants
9,looked,ann,he was a massive weatherbeaten man who looked very like ann in some ways and would have looked more like her but for the misfortune of having had some of his face clawed away by an irritable jaguar with whom he had had a difference some years back in the jungles of peru
9,bumped,figures,her guests were as a result perpetually forming new ententes and combinations finding themselves bumped about like those little moving figures which one sees in shopwindows on broadway which revolve on a metal disc until urged by impact with another little figure they scatter to regroup themselves elsewhere
9,looking,dude,theres a lot in that fellow in spite of his looking like a musical comedy dude
9,built,mastermind,he always looked like that when spoken to and there were thosemr pett belonged to this school of thoughtwho held that there was nothing to him beyond that look and that he had built up his reputation as a budding mastermind on a foundation that consisted entirely of a vacant eye a mop of hair through which he could run his fingers and the fame of his late father
9,referred,stuff,willie resented partridgite as being referred to as the stuff but he made allowance
9,same,rule,our men at home are just the same as a rule
9,dropped,mask,the vacuous expression had dropped from his face like a mask
10,described,hers,he was a chivalrous man a warm admirer of the sex but he was conscious of a wish that it was in his power to give mary what he would have described as hers
11,looked,houses,long before he reached the brownstone house which looked exactly like all the other brownstone houses in all the other sidestreets of uptown new york the first fine careless rapture of his mad outbreak had passed from jerry mitchell leaving nervous apprehension in its place
11,come,intermediary,i have come as an intermediary
11,feel,goldfish,i was sorry to lose the job though it did make me feel like a goldfish
11,love,brother,i love him like a brother but his dome is of ivory
11,spoke,land,you also spoke highly of america as a land where there were adventures to be had
12,come,announcement,to mr pett the announcement that mr james crocker was waiting to see him had come like the announcement of a miracle
12,leaped,lamb,scarcely waiting for the officeboy to retire he leaped towards jimmy like a gambolling lamb and slapped him on the back with every evidence of joy and friendliness
12,regarded,sheep,he had been given to understand that in the pett home he was regarded as the black sheep and while one may admit a black sheep into the fold it does not follow that one must of necessity fawn upon him
12,struck,idea,it had struck them as an ingenious idea for jimmy to pretend that he had arrived that morning and superficially it was a good idea but he now remembered for the first time that if he had seen mr pett on the _atlantic_ the probability was that mr pett had seen him
12,feel,snipe,it must make you feel like a snipe
12,regard,newsitem,they regard me rather as an entertaining newsitem than a worker
13,settle,limpet,im going to settle down like a limpet
13,fit,case,in a couple of weeks ill have him as fit as a ogdens case said mrs pett coldly which is very complicated is in the hands of doctor briginshaw in whom we have every confidence
13,looked,jimmy,i dont remember any one who looked at all like jimmy
13,came,criminal,he said that i ought to regard every fresh person who came into the house as a possible criminal
13,dismissed,failure,dully she perceived that her schemes must be dismissed as a failure before they had had a chance of success
14,had,man,jimmy had little faith in his fathers talents as a man of discretion
14,exhilarated,wine,it shone with relief and admiration and it exhilarated jimmy like wine
14,rang,shot,as she moved towards the stairs he gave expression to his satisfaction by slapping his father on the back with a report that rang out like a pistol shot
14,remembered,chatterer,he remembered lord wisbeach well as a garrulous irrepressible chatterer who would probably talk about old times to such an extent as to cause ann to realise the truth in the first five minutes
15,disliked,rule,as a rule she disliked them individually and collectively
15,greet,acquaintance,she was still feeling weak from the reaction consequent upon the slackening of the tension of her emotions on seeing lord wisbeach greet jimmy as an old acquaintance
15,said,times,quite like old times said mrs pett genially
15,using,illustration,if i were to drop this little tube like that said willie using the occurrence as a topical illustration we shouldnt be here
15,much,sight,my life has never been brightened by so much as a sight of potter
15,recognise,crocker,he isnt on the level anyway or why did he pretend to recognise you as jimmy crocker
15,choose,alias,what made you choose lord wisbeach as your alias
15,recognised,pal,how are you going to explain why you recognised me as an old pal before lunch if im a crook after lunch
15,acting,fool,you arent going to get anywhere by acting like a fool
16,struck,coincidence,it struck her as an odd coincidence that the poor child was nearly always like this on the morning after she had been entertaining guests she put it down to the reaction from the excitement working on a highlystrung temperament
16,describe,hunch,mrs pett was not vulgar enough to describe the feeling even to herself as a hunch but a hunch it had been and like every one whose hunches have proved correct she was conscious in the midst of her grief of a certain complacency
16,known,jack,rapid thought is one of the essentials in the composition of men who are known as gentleman jack to the boys and whose livelihood is won only by a series of arduous struggles against the forces of society and the machinations of potter and his gang
16,take,evidence,you take that as evidence of skinners honesty
16,take,proof,you take that as proof that this man is really your nephew
16,recognised,crocker,the fact that skinner recognised as jimmy crocker a man who is not jimmy crocker condemns him
16,accept,crocker,i told you that i pretended to accept this man as the real jimmy crocker for a purpose
16,foil,man,the only doubt that occurred to her was whether with the best intentions in the world he would be able unassisted to foil a pair of schemers so distant from each other geographically as the man who called himself jimmy crocker and the man who had called himself skinner
16,looked,owl,the telephone stood at her elbow concealedat the express request of the interior decorator who had designed the roomin the interior of what looked to the casual eye like a stuffed owl
17,remembered,man,she had pictured him she remembered as a man of agreeable exterior the better calculated to deceive and undo the virtuous and the fact that jimmy was a presentablelooking young man only made him appear viler in her eyes
17,described,clubman,it was his habit to dress in the height of fashion for one of his favourite axioms was that a man might be a detective and still look a gentleman and his appearance was that of the individual usually described as a popular clubman
17,looked,floorwalker,that is to say he looked like a floorwalker taking a sunday stroll
17,remembered,fellowtraveller,what aroused my suspicion was the fact that my husband thought that he remembered this young man as a fellowtraveller of ours on the _atlantic_ on our return voyage while he claimed to have landed that morning on the _caronia_
17,employ,instructor,mr pett used to employ as a physical instructor a man named jerry mitchell
17,ask,own,you perhaps know that when the big detective agencies andersons and the others are approached in the matter of tracing a man who is wanted for anything they sometimes ask the smaller agencies like my own to work in with them
17,best,parlourmaid,miss trimble is at her best as a parlourmaid
17,getting,maid,say you have come about getting a place here as a maid
17,looked,beasts,she had thick eyebrows from beneath which small glittering eyes looked out like dangerous beasts in undergrowth and the impressive effect of these was accentuated by the fact that while the left eye looked straight out at its object the right eye had a sort of roving commission and was now while its colleague fixed mrs pett with a gimlet stare examining the ceiling
18,riots,careless,he had had a boys undisciplined sense of humour in those days the sense of humour which riots like a young colt careless of what it bruises and crushes
18,felt,murderer,he no longer felt like a particularly mean murderer
18,recognise,crocker,well i listened and i heard this lord wisbeach tell mother that he had only pretended to recognise you as jimmy crocker and that really he had never seen you before in his life
18,seemed,perfection,that seemed as near perfection as one could expect to get nowadays sowell thats how it was
18,hanging,gargoyle,he directed his gaze thither and perceived the heavy face of ogden hanging over the rail like a gargoyle
18,strung,onion,you strung me like an onion
18,dressed,parlourmaid,it was a dangerouslooking female of uncertain age dressed as a parlourmaid who eyed him with what seemed to his consciencestricken soul dislike and suspicion
18,come,projectile,the words had come at him like a projectile
18,looking,priest,presently the door opened again and mr crocker appeared looking like a benevolent priest
19,fell,robe,then his priestly manner fell from him like a robe and he bounded forward
19,offered,butler,but i just couldnt help asking the old man how the pennant race was making out and that tickled him so much that he offered me a job here as butler if i ever wanted to make a change
19,s,eugenia,i guess you havent been in the house long enough to have noticed but shes very like eugenia in some ways
19,introduce,father,the only way to handle the situation was to introduce him as my father
19,use,dressingroom,use it as a dressingroom
20,strong,link,celestine imparts information plot is only as strong as its weakest link
20,celestine,fix,it could hardly have been that but it sounded to celestine like ill fix m
21,slid,ghost,mr crocker slid into the outer darkness like a stout ghost and jimmy closed the door gently behind him
22,looked,automobile,first came mr crocker still wearing his hideous mask then a heavily bearded individual with round spectacles who looked like an automobile coming through a haystack then ogden ford and finally a sturdy determinedlooking woman with glittering but poorly coordinated eyes who held a large revolver in her unshaking right hand and looked the very embodiment of the modern female who will stand no nonsense
22,looked,parlourmaid,it was part of the nightmarelike atmosphere which seemed to brood inexorably over this particular night that this person looked to jimmy exactly like the parlourmaid who had come to him in this room in answer to the bell and who had sent his father to him
23,calling,witness,ogden braced himself for resolute lying in the event of jimmy calling him as a witness
23,posing,crocker,she fought against it but a voice seemed to remind her that it was he who had suggested the idea of posing as jimmy crocker
23,turned,rattlesnake,then she turned to jimmy like a striking rattlesnake
23,yelped,dog,willie partridge yelped like a dog
23,raced,muff,through the opening the dog aida rejoicing in the removal of the obstacle raced like a fur muff mysteriously endowed with legs and a tongue
23,ylook,supplement,ylook like a coloured comic supplement
23,have,matter,as a matter of fact i did have the idea of kidnapping ogden
23,struck,thing,it struck him as a very curious thing that the simplest explanations were so often quite difficult to make
24,looked,lion,mr pett looked like an undersized lion as he faced his wife
